Name,Code
Argentina,ARG
Armenia,ARM
Australia,AUS
Austria,AUT
Azerbaijan,AZE
Bangladesh,BGD
Belarus,BLR
Belgium,BEL
Bolivia,BOL
Bosnia and Herzegovina,BIH
Brazil,BRA
Bulgaria,BGR
Canada,CAN
Chile,CHL
China,CHN
Colombia,COL
Croatia,HRV
Cuba,CUB
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
Dominican Republic,DOM
Egypt,EGY
El Salvador,SLV
Estonia,EST
Finland,FIN
France,FRA
Georgia,GEO
Germany,DEU
Greece,GRC
Honduras,HND
Hong Kong (China),HKG
Hungary,HUN
Iceland,ISL
India,IND
Indonesia,IDN
Iran,IRN
Ireland,IRL
Italy,ITA
Japan,JPN
Jordan,JOR
Kazakhstan,KAZ
Kyrgyzstan,KGZ
Latvia,LVA
Libya,LBY
Lithuania,LTU
Luxembourg,LUX
Macao (China),MAC
Macedonia,MKD
Malaysia,MYS
Mexico,MEX
Moldova,MDA
Mongolia,MNG
Montenegro,MNE
Netherlands,NLD
New Zealand,NZL
Nigeria,NGA
Norway,NOR
Palestine,PSE
Philippines,PHL
Poland,POL
Portugal,PRT
Republic of Korea,KOR
Romania,ROU
Russian Federation,RUS
Serbia,SRB
Singapore,SGP
Slovakia,SVK
Slovenia,SVN
South Africa,ZAF
Spain,ESP
Sri Lanka,LKA
Sweden,SWE
Switzerland,CHE
Syria,SYR
Taiwan,TWN
Tajikistan,TJK
Thailand,THA
Tunisia,TUN
Turkey,TUR
Turkmenistan,TKM
Ukraine,UKR
United Kingdom,GBR
United States of America,USA
Uzbekistan,UZB
Venezuela,VEN
Vietnam,VNM